GENE_SYMBOL,GENE_ID_HGNC,DISEASE_LABEL,DISEASE_ID_MONDO,MOI,SOP,CLASSIFICATION,ONLINE_REPORT,CLASSIFICATION_DATE,GCEP
AASS,HGNC:17366,hyperlysinemia,MONDO:0009388,AR,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_92e04f9e-f03e-4295-baac-e9fb6b48a258-2022-10-14T160000.000Z,2022-10-14T16:00:00.000Z,Aminoacidopathy
ACAD8,HGNC:87,isobutyryl-CoA dehydrogenase deficiency,MONDO:0012648,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0d260f0e-df71-420a-9281-92e4bddcddbb-2019-04-26T160000.000Z,2019-04-26T16:00:00.000Z,Aminoacidopathy
ACADSB,HGNC:91,2-methylbutyryl-CoA dehydrogenase deficiency,MONDO:0012392,AR,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8bfa3857-c96c-40ac-b4c1-2cf04fd4eb4f-2019-03-22T160000.000Z,2019-03-22T16:00:00.000Z,Aminoacidopathy
ACSF3,HGNC:27288,combined malonic and methylmalonic acidemia,MONDO:0013661,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b215e20c-7781-49a0-b473-9219cb07e0b9-2020-10-09T160000.000Z,2020-10-09T16:00:00.000Z,Aminoacidopathy
ACY1,HGNC:177,aminoacylase 1 deficiency,MONDO:0012368,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_67196825-d32f-4070-9c15-debaa2287b73-2020-09-25T160000.000Z,2020-09-25T16:00:00.000Z,Aminoacidopathy
ADK,HGNC:257,adenosine kinase deficiency,MONDO:0100255,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c2319ca2-652d-411e-ab6d-5b7fb7e185ea-2021-04-08T160000.000Z,2021-04-08T16:00:00.000Z,Aminoacidopathy
AHCY,HGNC:343,hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase,MONDO:0013404,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d9b3a56b-b188-44d1-9983-a059895c0ba1-2022-12-12T170000.000Z,2022-12-12T17:00:00.000Z,Aminoacidopathy
ALDH18A1,HGNC:9722,P5CS deficiency,MONDO:0100126,SD,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7bfbe962-beb3-4553-9909-a83a3aac2d55-2021-05-18T211134.377Z,2021-05-18T21:11:34.377Z,Aminoacidopathy
ALDH4A1,HGNC:406,hyperprolinemia type 2,MONDO:0009401,AR,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5edc3f72-31e0-47f8-bcec-e3e5b81c97ae-2020-10-23T171643.432Z,2020-10-23T17:16:43.432Z,Aminoacidopathy
ALDH6A1,HGNC:7179,methylmalonate semialdehyde dehydrogenase deficiency,MONDO:0013579,AR,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_57ca1521-9336-4769-bc55-240089dab917-2022-12-12T170000.000Z,2022-12-12T17:00:00.000Z,Aminoacidopathy
